Wall time,Step,Value
1736350695.9609036,500,1.2333333492279053
1736350696.693208,1000,2.9060606956481934
1736350697.4257455,1500,5.163000106811523
1736350698.1562839,2000,7.684000015258789
1736350698.88684,2500,9.5
1736350699.6194005,3000,9.77299976348877
1736350700.3510604,3500,10.498000144958496
1736350701.0805917,4000,10.854999542236328
1736350701.8096426,4500,11.097000122070312
1736350702.5962586,5000,11.168000221252441
1736350703.3254945,5500,11.220999717712402
1736350704.0537636,6000,11.46500015258789
1736350704.7824564,6500,11.506999969482422
1736350705.510572,7000,11.736000061035156
1736350706.2401347,7500,11.902000427246094
1736350706.9678364,8000,12.178999900817871
1736350707.698214,8500,12.21500015258789
1736350708.4276922,9000,12.175999641418457
1736350709.1557758,9500,12.045999526977539
1736350709.9291015,10000,12.164999961853027
1736350710.65795,10500,12.39900016784668
1736350711.385497,11000,12.619000434875488
1736350712.1132936,11500,12.532999992370605
1736350712.8426635,12000,12.343999862670898
1736350713.5702558,12500,12.0
1736350714.298599,13000,11.942000389099121
1736350715.0276582,13500,11.418999671936035
1736350715.7557743,14000,11.644000053405762
1736350716.4842923,14500,11.437000274658203
1736350717.262303,15000,11.53499984741211
1736350717.989294,15500,11.67300033569336
1736350718.7165275,16000,11.946999549865723
1736350719.4459374,16500,12.425000190734863
1736350720.172044,17000,12.454999923706055
1736350720.8989556,17500,12.697999954223633
1736350721.6242647,18000,12.975000381469727
1736350722.3532662,18500,13.079000473022461
1736350723.080765,19000,13.088000297546387
1736350723.8088167,19500,12.904000282287598
1736350724.5816584,20000,12.73799991607666
1736350725.311851,20500,12.527999877929688
1736350726.040815,21000,12.760000228881836
1736350726.7705014,21500,12.88700008392334
1736350727.4987092,22000,13.173999786376953
1736350728.2296672,22500,13.184000015258789
1736350728.9573417,23000,13.243000030517578
1736350729.6862974,23500,13.180999755859375
1736350730.4152088,24000,13.140999794006348
1736350731.1431355,24500,13.277999877929688
1736350731.9155712,25000,13.460000038146973
1736350732.644106,25500,13.220000267028809
1736350733.3717096,26000,13.170000076293945
1736350734.1003575,26500,13.060999870300293
1736350734.8285177,27000,13.340999603271484
1736350735.5573795,27500,13.29800033569336
1736350736.2870398,28000,13.123000144958496
1736350737.0158393,28500,13.142999649047852
1736350737.7446876,29000,13.236000061035156
1736350738.473364,29500,13.539999961853027
1736350739.2459302,30000,13.640000343322754
1736350739.9733107,30500,13.61400032043457
1736350740.7017405,31000,13.61400032043457
1736350741.430264,31500,13.583999633789062
1736350742.158411,32000,13.593999862670898
1736350742.8871133,32500,13.595000267028809
1736350743.6154778,33000,13.48900032043457
1736350744.3437414,33500,13.635000228881836
1736350745.0726545,34000,13.694000244140625
1736350745.8006654,34500,13.821999549865723
1736350746.5717895,35000,13.831999778747559
1736350747.3016992,35500,13.821999549865723
1736350748.0297174,36000,13.880000114440918
1736350748.757677,36500,13.744000434875488
1736350749.4868228,37000,13.753999710083008
1736350750.2137754,37500,13.63700008392334
1736350750.9393287,38000,13.762999534606934
1736350751.6649027,38500,13.605999946594238
1736350752.3936634,39000,13.644000053405762
1736350753.1215403,39500,13.673999786376953
1736350753.8928258,40000,13.831000328063965
1736350754.6200883,40500,13.930000305175781
1736350755.3480778,41000,13.899999618530273
1736350756.0759645,41500,13.822999954223633
1736350756.803915,42000,13.656999588012695
1736350757.5317225,42500,13.687000274658203
1736350758.2596781,43000,13.833999633789062
1736350758.988127,43500,13.960000038146973
1736350759.7161086,44000,13.854000091552734
1736350760.4457047,44500,13.833999633789062
1736350761.217221,45000,13.894000053405762
1736350761.9455757,45500,13.960000038146973
1736350762.6741946,46000,13.960000038146973
1736350763.402351,46500,13.960000038146973
1736350764.1306274,47000,13.949999809265137
1736350764.8583603,47500,13.960000038146973
1736350765.5863516,48000,13.930999755859375
1736350766.315067,48500,13.895000457763672
1736350767.043225,49000,13.769000053405762
1736350767.7720423,49500,13.767999649047852
1736350768.5442202,50000,13.833999633789062
