Wall time,Step,Value
1736351824.4568539,4096,1.0144222974777222
1736351826.1206586,5000,0.2686944305896759
1736351829.8241906,8192,1.8280295133590698
1736351832.2861211,10000,1.5159977674484253
1736351835.185181,12288,2.973623514175415
1736351837.8327165,14336,2.903779983520508
1736351839.2789998,15000,4.648861408233643
1736351843.1771193,18432,5.299668312072754
1736351845.427327,20000,5.4809250831604
1736351848.5140584,22528,4.615538597106934
1736351851.1625915,24576,3.5972113609313965
1736351852.3915339,25000,2.4912915229797363
1736351856.5195525,28672,2.2309372425079346
1736351858.5526283,30000,1.176836371421814
1736351861.857802,32768,0.630371630191803
1736351864.5314906,34816,0.2974872291088104
1736351865.5553505,35000,0.12594282627105713
1736351869.9291432,38912,0.2990269362926483
1736351871.7633162,40000,0.17322003841400146
1736351875.3203251,43008,0.08766338974237442
1736351877.9754183,45000,0.11948136985301971
1736351880.7154381,47104,0.21052366495132446
1736351883.3896825,49152,0.09240839630365372
1736351885.0131214,50000,0.07889848202466965
