Wall time,Step,Value
1736371007.9149623,5000,14.220000267028809
1736371014.1652927,10000,1.8200000524520874
1736371021.2410715,15000,18.399999618530273
1736371027.4767015,20000,14.239999771118164
1736371034.527904,25000,18.5
1736371040.7611394,30000,16.899999618530273
1736371047.8094225,35000,16.299999237060547
1736371054.0184813,40000,15.699999809265137
1736371060.247828,45000,18.100000381469727
1736371067.3018024,50000,20.899999618530273
1736371073.5388718,55000,20.299999237060547
1736371080.5828266,60000,19.299999237060547
1736371086.797612,65000,18.299999237060547
1736371093.8224478,70000,17.700000762939453
