Wall time,Step,Value
1736370917.1437886,500,-2.7750091552734375
1736370917.885156,1000,-1.7616792917251587
1736370918.6267512,1500,-1.2933433055877686
1736370919.3662517,2000,-1.312754511833191
1736370920.1079633,2500,-1.2650909423828125
1736370920.853319,3000,-1.1252405643463135
1736370921.593769,3500,-1.0633760690689087
1736370922.3355267,4000,-1.1431629657745361
1736370923.0769427,4500,-1.2337931394577026
1736370923.885354,5000,-1.0330321788787842
1736370924.637972,5500,-0.9911789298057556
1736370925.3790882,6000,-0.9186877608299255
1736370926.1192143,6500,-0.6552586555480957
1736370926.858934,7000,-0.8111795783042908
1736370927.5989933,7500,-0.9603796005249023
1736370928.3391614,8000,-0.6805567145347595
1736370929.0787373,8500,-0.829525887966156
1736370929.8216548,9000,-0.8864368796348572
1736370930.563296,9500,-0.8198539614677429
1736370931.3581004,10000,-0.9923521280288696
1736370932.1056724,10500,-0.712784469127655
1736370932.8456872,11000,-0.4773530066013336
1736370933.5849261,11500,-1.1203885078430176
1736370934.3241549,12000,-1.0804212093353271
1736370935.064964,12500,-0.5971728563308716
1736370935.8047614,13000,-0.9367002844810486
1736370936.5446792,13500,-0.5949383974075317
1736370937.2828186,14000,-0.5223519802093506
1736370938.0230465,14500,-0.8726281523704529
1736370938.8270361,15000,-0.41670694947242737
1736370939.5756571,15500,-0.9859659075737
1736370940.3175788,16000,-0.7620238661766052
1736370941.0567427,16500,-0.9263601303100586
1736370941.79623,17000,-0.3985345959663391
1736370942.535999,17500,-0.1730019748210907
1736370943.2746565,18000,-0.1494133025407791
1736370944.0155401,18500,-0.2765865921974182
1736370944.755959,19000,-0.10623949021100998
1736370945.4978628,19500,-0.07643037289381027
1736370946.3018835,20000,-0.3694007396697998
1736370947.0426588,20500,-0.08494264632463455
1736370947.7816238,21000,-0.15468436479568481
1736370948.5197396,21500,-0.2460707426071167
1736370949.258051,22000,-0.03947482630610466
1736370949.9982185,22500,-0.051606692373752594
1736370950.7387943,23000,-0.05094613507390022
1736370951.476433,23500,-0.2098676711320877
1736370952.2167244,24000,-0.04479840025305748
