Wall time,Step,Value
1736370995.0294645,5000,6.360000133514404
1736370999.1341577,10000,7.039999961853027
1736371003.296448,15000,13.079999923706055
1736371007.4661787,20000,9.899999618530273
1736371011.6350107,25000,14.579999923706055
1736371015.7997558,30000,7.659999847412109
1736371019.96168,35000,10.579999923706055
1736371024.106501,40000,9.899999618530273
1736371028.2680807,45000,17.100000381469727
1736371032.4432454,50000,9.34000015258789
1736371036.611263,55000,19.299999237060547
1736371040.780307,60000,18.299999237060547
1736371044.9324124,65000,16.739999771118164
1736371049.0880241,70000,16.15999984741211
