Wall time,Step,Value
1736370991.6259506,146,0.8351418972015381
1736370991.683914,232,0.8048911094665527
1736370991.737073,321,0.5914051532745361
1736370991.7878938,408,0.564501166343689
1736370991.834663,486,0.5357951521873474
1736370991.8833053,565,0.4275209903717041
1736370991.9360695,651,0.2885613441467285
1736370991.981654,725,0.29957839846611023
1736370992.024765,797,0.31458553671836853
1736370992.0648742,862,0.4195006191730499
1736370992.114937,941,0.21843627095222473
1736370992.1656687,1021,0.25481876730918884
1736370992.2234168,1114,0.13365212082862854
1736370992.2794132,1202,0.2757180333137512
1736370992.332463,1289,0.1616741120815277
1736370992.3825407,1372,0.19815661013126373
1736370992.435539,1453,0.14081811904907227
1736370992.4898279,1538,0.13438142836093903
1736370992.5380275,1616,0.14044784009456635
1736370992.5888085,1694,0.1092597171664238
1736370992.640963,1775,0.09158825874328613
1736370992.6946015,1859,0.19759321212768555
1736370992.7435822,1936,0.15220089256763458
1736370992.7942345,2009,0.0769951343536377
1736370992.8430715,2086,0.07563677430152893
1736370992.893519,2163,0.12898817658424377
1736370992.946111,2240,0.09801171720027924
1736370993.0083027,2330,0.06584668904542923
1736370993.0585895,2407,0.12155117094516754
1736370993.1133206,2489,0.08022458106279373
1736370993.167817,2571,0.21158546209335327
1736370993.2250862,2659,0.1320067048072815
1736370993.286536,2748,0.07017204165458679
1736370993.3371696,2820,0.07208431512117386
1736370993.3985767,2909,0.2583078444004059
1736370993.45934,2992,0.14134562015533447
1736370993.5102017,3063,0.0927174985408783
1736370993.5719225,3152,0.0964762419462204
1736370993.6300273,3233,0.05698435381054878
1736370993.6906998,3319,0.1527543067932129
1736370993.7471576,3398,0.051050953567028046
1736370993.8002212,3473,0.09536860138177872
1736370993.8666608,3568,0.03237995505332947
1736370993.9173355,3640,0.039727628231048584
1736370993.9884245,3737,0.11024954915046692
1736370994.0452003,3816,0.09460374712944031
1736370994.109881,3905,0.049707140773534775
1736370994.1689246,3984,0.048215579241514206
1736370994.2321393,4070,0.11616666615009308
1736370994.2870777,4142,0.10755997896194458
1736370994.3531253,4230,0.031478215008974075
1736370994.4128234,4311,0.1499330997467041
1736370994.4740584,4393,0.1268087774515152
1736370994.533166,4476,0.0366821251809597
1736370994.5897548,4549,0.2293272614479065
1736370994.6500754,4629,0.1548384726047516
1736370994.7044246,4704,0.14909815788269043
1736370994.7664087,4785,0.02033238485455513
1736370994.8273256,4865,0.2226831018924713
1736370994.9473839,4941,0.07465251535177231
1736370995.029501,5000,0.1623079478740692
1736370995.0597453,5027,0.019646350294351578
1736370995.1170506,5101,0.08046583831310272
1736370995.1736872,5176,0.03391793370246887
1736370995.2299774,5249,0.0588710717856884
1736370995.298337,5338,0.0801515132188797
1736370995.3617191,5420,0.1048397496342659
1736370995.4207046,5496,0.09584936499595642
1736370995.4902651,5584,0.11735933274030685
1736370995.559778,5672,0.1264311820268631
1736370995.6183832,5746,0.09068549424409866
1736370995.6805463,5826,0.1727193295955658
1736370995.7466197,5909,0.04321276396512985
1736370995.8132966,5994,0.04707285016775131
1736370995.885159,6084,0.4188271164894104
1736370995.9358842,6150,0.052317190915346146
1736370995.9910915,6220,0.11190882325172424
1736370996.060786,6305,0.10779551416635513
1736370996.1284513,6390,0.03555964678525925
1736370996.1865618,6463,0.05248050391674042
1736370996.2483974,6540,0.09255506098270416
1736370996.3164399,6623,0.15512648224830627
1736370996.3835692,6701,0.15294918417930603
1736370996.452554,6787,0.09348531067371368
1736370996.5205944,6869,0.04196101799607277
1736370996.58998,6954,0.06357773393392563
1736370996.6499665,7027,0.15922531485557556
1736370996.7164774,7108,0.09200763702392578
1736370996.7872753,7193,0.0409868098795414
1736370996.8640628,7287,0.17578727006912231
1736370996.9374716,7374,0.14437995851039886
1736370996.9997342,7449,0.05509428679943085
1736370997.062876,7526,0.14659401774406433
1736370997.136479,7616,0.03145439922809601
1736370997.206356,7701,0.12128859758377075
1736370997.272974,7784,0.09268318861722946
1736370997.3350472,7860,0.14047034084796906
1736370997.4023323,7941,0.065758615732193
1736370997.4640157,8018,0.1318494826555252
1736370997.5368147,8107,0.09149976074695587
1736370997.605501,8190,0.13981935381889343
1736370997.6690128,8268,0.19044825434684753
1736370997.7442765,8357,0.19766968488693237
1736370997.8090754,8436,0.09904800355434418
1736370997.8772056,8520,0.07117202877998352
1736370997.939612,8595,0.10334339737892151
1736370998.0095932,8679,0.17877648770809174
1736370998.0655735,8748,0.11106379330158234
1736370998.138444,8834,0.2259136289358139
1736370998.2083457,8919,0.1449274867773056
1736370998.2775102,9003,0.128551185131073
1736370998.333306,9070,0.09979754686355591
1736370998.403115,9154,0.11606260389089584
1736370998.4660885,9230,0.1368892788887024
1736370998.5288832,9305,0.16645649075508118
1736370998.5889914,9378,0.03676409274339676
1736370998.661779,9466,0.052373409271240234
1736370998.7184732,9535,0.1424996554851532
1736370998.7841873,9615,0.03925726190209389
1736370998.8592083,9705,0.0641523003578186
1736370998.9227517,9784,0.09453508257865906
1736370998.988968,9864,0.041748858988285065
1736370999.0610297,9951,0.09435753524303436
1736370999.134194,10000,0.1587391346693039
1736370999.17695,10041,0.13734190165996552
1736370999.246898,10125,0.07779897004365921
1736370999.3063989,10197,0.2123182713985443
1736370999.3805864,10286,0.10170218348503113
1736370999.4390402,10356,0.04645957797765732
1736370999.5050497,10435,0.03210405260324478
1736370999.5770981,10521,0.04170823097229004
1736370999.6492612,10609,0.036583658307790756
1736370999.7164872,10692,0.06933823972940445
1736370999.7815697,10770,0.0576801672577858
1736370999.84402,10846,0.12024062871932983
1736370999.9066722,10921,0.12544050812721252
1736370999.9759393,11005,0.14446493983268738
1736371000.03647,11079,0.11610019207000732
1736371000.1044502,11161,0.12107749283313751
1736371000.1637375,11234,0.22164805233478546
1736371000.2375443,11324,0.1392543464899063
1736371000.3064682,11406,0.13160283863544464
1736371000.373722,11488,0.06359445303678513
1736371000.4385674,11567,0.11235377937555313
1736371000.5083337,11651,0.133005753159523
1736371000.576843,11733,0.08892863988876343
1736371000.6400332,11810,0.06057637184858322
1736371000.7000546,11883,0.08010003715753555
1736371000.7658327,11963,0.1187606155872345
1736371000.8357959,12047,0.05216585472226143
1736371000.9044118,12129,0.13647601008415222
1736371000.9770644,12217,0.08092015236616135
1736371001.0375288,12290,0.15527932345867157
1736371001.106398,12373,0.18230482935905457
1736371001.1732526,12456,0.24816074967384338
1736371001.2412286,12537,0.10342671722173691
1736371001.3032513,12613,0.12251946330070496
1736371001.3734446,12700,0.11299415677785873
1736371001.441542,12781,0.040317703038454056
1736371001.5016518,12856,0.24528422951698303
1736371001.577028,12947,0.1517719179391861
1736371001.6396883,13022,0.3262209892272949
1736371001.7088795,13107,0.1506306529045105
1736371001.7678564,13180,0.07847338914871216
1736371001.8375185,13264,0.12968850135803223
1736371001.8993683,13339,0.18085534870624542
1736371001.9674962,13421,0.1914730817079544
1736371002.027714,13495,0.0666021853685379
1736371002.0961938,13578,0.06644771993160248
1736371002.1585383,13654,0.13931849598884583
1736371002.226061,13737,0.08554509282112122
1736371002.2835739,13809,0.07446159422397614
1736371002.3558834,13897,0.090060293674469
1736371002.4186687,13974,0.17427510023117065
1736371002.4803915,14049,0.05012736842036247
1736371002.5501614,14135,0.05234771966934204
1736371002.6151536,14214,0.11604645103216171
1736371002.6827202,14297,0.09348742663860321
1736371002.7424223,14371,0.05609409883618355
1736371002.8076644,14452,0.1603650450706482
1736371002.8664563,14523,0.11180582642555237
1736371002.9374108,14610,0.21873316168785095
1736371003.0065022,14695,0.19710779190063477
1736371003.0619903,14763,0.16099727153778076
1736371003.121591,14836,0.1853337287902832
1736371003.1935477,14922,0.059092745184898376
1736371003.2964845,15000,0.044764626771211624
1736371003.3067355,15003,0.20854529738426208
1736371003.3763115,15088,0.13798442482948303
1736371003.441965,15167,0.15178005397319794
1736371003.4981484,15236,0.026203786954283714
1736371003.5693815,15321,0.1856788694858551
1736371003.629181,15395,0.1505548655986786
1736371003.691836,15471,0.13294756412506104
1736371003.760212,15553,0.12655125558376312
1736371003.8234859,15630,0.19254496693611145
1736371003.8923264,15714,0.13984519243240356
1736371003.966671,15804,0.03494331240653992
1736371004.041569,15894,0.23446813225746155
1736371004.1045656,15971,0.02856704778969288
1736371004.1737049,16055,0.08743321150541306
1736371004.245184,16142,0.10398296266794205
1736371004.3151488,16227,0.0231806468218565
1736371004.3741312,16299,0.1928558498620987
1736371004.4461362,16387,0.13608002662658691
1736371004.5159655,16471,0.046896617859601974
1736371004.5871027,16553,0.16549451649188995
1736371004.6611676,16644,0.11226129531860352
1736371004.7369483,16734,0.2185353934764862
1736371004.8101234,16824,0.10151761770248413
1736371004.8779397,16905,0.11621665209531784
1736371004.9377978,16978,0.18849609792232513
1736371005.0019267,17056,0.16682380437850952
1736371005.0632489,17129,0.0656917542219162
1736371005.1269267,17207,0.1757408082485199
1736371005.1909616,17285,0.08695279806852341
1736371005.2544057,17364,0.06136903911828995
1736371005.3166392,17438,0.03671348839998245
1736371005.386253,17522,0.13453781604766846
1736371005.4597867,17611,0.086705282330513
1736371005.5259342,17691,0.12344029545783997
1736371005.5900714,17770,0.10424461960792542
1736371005.653423,17848,0.062120966613292694
1736371005.721294,17929,0.1553962528705597
1736371005.7833402,18006,0.11352121829986572
1736371005.8549657,18093,0.20828188955783844
1736371005.9145575,18166,0.18826279044151306
1736371005.9872708,18254,0.21212446689605713
1736371006.0492852,18329,0.10493053495883942
1736371006.1156726,18411,0.1574394404888153
1736371006.1849504,18494,0.16042004525661469
1736371006.2520423,18576,0.048022180795669556
